College,Program name,Program name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
george brown college,Honours Bachelor of Technology (Construction Management) (Bridging) (T314),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-technology-construction-management-program-bridging-t314?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Technology (Construction Management) (Bridging) (T316),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-technology-construction-management-program-bridging-t316?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Technology (Construction Management) (Bridging) (T317),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-technology-construction-management-program-bridging-t317?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Technology (Construction Management) (Bridging) (T318),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-technology-construction-management-program-bridging-t318?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Building Renovation Technology (T148),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/building-renovation-technology-program-t148?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Carpentry and Renovation Technician (T180),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/carpentry-and-renovation-technician-program-t180?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Construction Techniques (T176),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/construction-techniques-program-t176?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Electrical Techniques (T167),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electrical-techniques-program-t167?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,"Heating, Refrigeration, and Air Conditioning Technician (T160)",https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/heating-refrigeration-and-air-conditioning-technician-program-t160?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,"Heating, Refrigeration, and Air Conditioning Technology (T162)",https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/heating-refrigeration-and-air-conditioning-technology-program-t162?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Plumbing Techniques (T165),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/plumbing-techniques-program-t165?year=2023,Ontario College Certificate,,6,105,54,60,169
